COMPOUND,BCUTw.1l,BCUTw.1h,BCUTc.1l,BCUTc.1h,BCUTp.1l,BCUTp.1h,Fsp3,XLogP,MW,nRotB,MLogP,nAtomLAC,nAtomP,nAtomLC,nB,nAtom,nAromBond,naAromAtom,ALogP,ALogp2,AMR,nSmallRings,nAromRings,nRingBlocks,nAromBlocks,nRings6,tpsaEfficiency,Zagreb,WPATH,WPOL,WTPT.1,WTPT.2,WTPT.3,WTPT.4,WTPT.5,VAdjMat,VABC,TopoPSA,topoShape,PetitjeanNumber,MDEC.12,MDEC.13,MDEC.22,MDEC.23,MDEC.33,MDEO.11,khs.sCH3,khs.ssCH2,khs.aaCH,khs.sssCH,khs.dssC,khs.aasC,khs.sOH,khs.dO,khs.ssO,Kier1,Kier2,Kier3,HybRatio,fragC,FMF,ECCEN,SP.0,SP.1,SP.2,SP.3,SP.4,SP.5,SP.6,SP.7,VP.0,VP.1,VP.2,VP.3,VP.4,VP.5,VP.6,VP.7,SPC.4,SPC.5,SPC.6,VPC.4,VPC.5,VPC.6,SC.3,SC.5,VC.3,VC.5,SCH.6,SCH.7,VCH.6,VCH.7,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,ATSp1,ATSp2,ATSp3,ATSp4,ATSp5,ATSm1,ATSm2,ATSm3,ATSm4,ATSm5,ATSc1,ATSc2,ATSc3,ATSc4,ATSc5,nHBDon,nHBAcc,bpol,apol,label
"(-)-3,5-Dicaffeoyl quinic acid",11.85,16.0059901934521,-0.387426058858312,0.291871721757463,4.44777643004128,9.6917567922154,0.24,1.587,516.45183,9,2.89,3,13,4,39,61,12,12,1.5605,2.43516025,125.7672,3,2,3,2,3,0.40935679,190,4988,59,73.723274,1.992521,31.175348,31.175348,0,6.285402,458.568372943001,211.28,1,0.5,0,0,11.0787468,26.952306,11.2534255,5.26563688,0,2,6,3,3,6,7,3,2,31.526627,14.0625,9,0.24,2637.12,0.7027027,1147,27.327698,17.373737,16.699995,13.2972145,9.257587,7.9395868,5.24527417,3.18291666,19.091504,10.8295699,8.3492248,5.5954026,3.62101434,2.50620656,1.303379493,0.633777766,7.6919792,9.0183677,13.5242298,2.10668079,2.45925581,2.899216,3.545452,1.0783693,1.26595124,0.13471302,0.18419529,0.5604348,0.09622504,0.17718405,3,14,2,0,5,2107.20908,2437.80032,3343.76731,3391.89772,2913.44744,46.293628,43.649288,65.961523,72.281206,60.957799,1.18064294095686,-0.466867104185431,-0.152894746802654,0.164293718881478,-0.151225439315184,7,8,32.942968,69.627032,0
(S)-(+)-Camptothecin,11.9884159142888,16.0062879953878,-0.374519737041653,0.31242378434177,4.92171013816542,11.5071389080219,0.25,1.518,348.3528,1,3,2,17,2,30,42,11,10,1.7461,3.04886521,94.4921,5,3,1,2,4,0.22903614,154,1479,54,54.477169,2.095276,17.514575,10.726532,6.788043,5.906891,304.320156625512,79.73,0.8333333,0.4545455,1.4841611,1.73485041,8.6572288,22.652386,11.9870758,0.66943295,1,3,6,0,1,5,1,2,1,18.055556,6.518787,2.62805,0.25,1466.06,0.8076923,497,18.051677,12.525024,11.966303,11.5884772,9.7247692,8.3862805,6.590477,5.31502755,14.151808,8.5851271,6.7918661,5.4167908,3.92515315,2.81253688,1.81833193,1.249698582,6.7047803,10.9875576,16.6848725,2.36504131,3.37381083,4.211657,2.2515225,1.0127425,0.99972477,0.24108348,0.44438992,1.0000533,0.16118029,0.27461145,2,9,4,3,1,2080.74437,2608.30441,4074.22731,4371.49983,3685.23469,29.817837,32.49137,51.98203,61.55557,52.310126,0.641438160352786,-0.336580578696458,0.0481678401517113,0.00995309140208802,-0.0199692896500202,1,6,24.623312,51.276688,1
(S)-crizotinib,11.9,34.9698552199134,-0.334591131412101,0.148578868745911,4.83289437541681,11.2363663137127,0.33333333,4.827,450.33735,5,2.78,2,13,3,33,52,17,17,3.694,13.645636,118.1117,4,3,4,3,3,0.17365126,160,2633,49,61.287732,2.042924,25.863361,3.070854,15.213427,6.044394,368.818353566969,77.99,0.875,0.4666667,1.4275053,2.90544226,8.92567,20.207983,12.3142515,0,1,4,6,2,0,8,0,0,1,23.168044,10.29244,5.333333,0.33333333,2155.09,0.8333333,762,21.250348,14.435561,13.223169,11.4706534,9.3154046,7.1493064,4.65899125,3.29057205,17.92022,10.5014676,8.0996755,6.0028434,4.30816311,2.56572544,1.341993137,0.760930231,5.2886132,8.1769053,11.2799986,2.25098671,3.21442596,3.407035,2.0797036,0.6418854,1.03588255,0.2248793,0.36174177,0.6448387,0.14754769,0.18318937,4,7,3,3,4,2151.37414,2533.64022,3549.7585,3568.18108,3175.29621,49.502314,39.838946,59.653184,69.474461,71.064012,0.522408413988862,-0.183442776901769,-0.115247764021305,0.0321426907063637,-0.104001778692693,2,4,31.309554,62.848446,0
"1,4-Naphthoquinone",11.85,15.9959196753515,-0.289787074156323,0.187539063633041,4.93834375,9.26839068902301,0,1.44,158.15381,0,2.34,0,12,0,13,18,6,6,1.7578,3.08986084,46.3334,2,2,1,1,2,0.21602566,62,176,18,24.350096,2.029175,5.103315,5.103315,0,4.70044,147.665088754189,34.14,0.6666667,0.4,0,0,6.1204639,11.106315,3.9654065,0.2,0,0,4,0,2,2,0,2,0,8.591716,3.395062,1.5625,0,229.02,0.8333333,108,8.552042,5.787694,5.144084,4.4140121,3.5551761,2.9331794,1.53501674,0.88940808,6.280598,3.6462822,2.6074187,1.8440656,1.24377782,0.81187685,0.347136303,0.168176833,1.9454828,3.0548894,4.438166,0.57610268,0.75073436,0.8252167,0.74357,0.2480056,0.2621887,0.05485402,0.13888889,0.2859036,0.04861111,0.06884438,0,8,2,0,0,678.54192,790.12413,1077.72023,986.4874,557.53081,13.548938,13.664184,19.328368,19.992552,13.992552,0.249790694529192,-0.0737487201875142,-0.0107057677205365,-0.00888470003653089,-0.114189579544059,0,2,8.475242,23.204758,0
10-Hydroxycamptothecin,11.9884158862479,16.0064545221323,-0.374576647671097,0.31243144167523,4.92192921873105,11.5089772902583,0.25,1.112,364.3522,1,2.89,2,18,2,31,43,11,10,1.4787,2.18655369,96.1862,5,3,1,2,4,0.2745355,160,1665,56,56.327966,2.086221,20.065516,13.276268,6.789248,5.954196,313.110383326073,99.96,1,0.5,1.4212073,1.78804441,6.36986,23.4803,13.3815162,0.87091297,1,3,5,0,1,6,2,2,1,18.992716,6.768013,2.810283,0.25,1507.07,0.7777778,554,18.921921,12.918871,12.60007,11.9240224,9.9801092,8.6583912,6.88267595,5.44172963,14.521671,8.7194175,6.976169,5.4911503,3.9730928,2.84609836,1.858946649,1.259066682,7.053945,11.4446155,17.4764249,2.4388964,3.45631437,4.319062,2.5401976,1.0127425,1.07426037,0.24108348,0.42909797,1.0464686,0.15745877,0.2815568,2,9,4,3,1,2128.6014,2671.78035,4186.62295,4496.23737,3811.68573,31.592306,33.823462,54.646214,64.219753,54.97431,0.696813368913217,-0.352416471362472,0.046842216108092,0.00134376708796149,-0.0578645897670513,2,6,24.623312,52.078688,1
"2,2,6,6-Tetramethylpiperidinooxy",11.999,16.000973489715,-0.374520547356495,0.0425989380980915,5.75283738689196,9.76626038430058,1,1.793,156.24566,0,2.23,0,1,0,11,29,0,0,2.3,5.29,44.5442,1,0,1,0,1,0.14935093,58,134,17,20.929372,1.90267,5.596442,2.47109,3.125352,4.459432,171.650848541528,3.24,0.3333333,0.25,4.1601676,0,2.3811016,0,0,0,4,3,0,0,0,0,0,0,0,9.090909,2.5,1.6,1,731.02,0.5454545,77,8.698671,4.861807,5.552404,3.9866518,2.4903993,1.1525389,0.86386375,0.20412415,8.015748,4.3543204,4.7902253,2.723909,1.98475547,0.88504169,0.705136496,0.070710678,3.949595,5.6176257,6.8223136,2.24060155,3.49434116,3.883521,2.2452912,0.6969234,1.83677591,0.24142136,0.05103104,0.2551552,0.03952847,0.17579155,0,0,0,4,3,688.90397,786.04061,1143.55175,962.54963,453.73987,12.134449,11.885825,19.661276,19.158734,9.332092,0.045968266447865,0.00440237648578156,-0.0244726411639028,-0.00525890393605843,0.00234503539024718,0,0,21.295726,29.744274,0
"2,4-Dichlorophenoxyacetic acid",11.9962918720587,34.9698536942443,-0.348859367873895,0.304608450298828,3.6815492762192,9.44472727349259,0.125,2.563,221.03762,3,1.79,2,7,4,13,19,6,6,2.8119,7.90678161,48.3656,1,1,1,1,1,0.21152942,60,266,15,25.243848,1.941834,12.817731,7.771488,0,4.70044,169.914857846284,46.53,1,0.5,0,0,2.3348151,7.615919,2.1822473,0.5,0,1,3,0,1,3,1,1,1,11.076923,5.024221,3.703704,0.125,205.05,0.4615385,155,9.844935,6.092224,5.626785,3.7239563,2.7043546,2.0073523,1.30562417,0.44014107,7.970655,4.1460109,3.1007934,1.7755403,1.19480258,0.64647252,0.354987353,0.08263396,1.6491021,2.0155472,2.5482889,0.64961387,0.80759056,0.8029307,1.0992924,0.1178511,0.47612094,0.03857584,0.06804138,0.1841953,0.02405626,0.0643754,1,6,0,1,0,686.09046,755.61733,954.26789,828.98903,529.80564,30.749307,18.231909,27.242011,27.952235,25.564538,0.430065742360993,-0.167006639474714,-0.188526245538101,0.202839000180547,-0.0449024631564501,1,2,10.273242,24.846758,0
2'-DEOXYCYTIDINE-5'-TRIPHOSPHATE TRISODI,11.9944454240786,30.9757661949644,-0.390032621911534,0.470794524577962,2.00957914176445,9.43702581182288,0.55555556,-5.708,467.15733,8,0.36,0,13,8,29,44,0,0,-4.0604,16.48684816,86.6125,2,1,2,1,1,0.59401751,148,2269,39,54.745615,1.955201,52.663638,33.758027,8.949763,5.857981,338.343014785395,277.4,0.875,0.4666667,0,0,1.8731848,7.728467,3.4941356,6.53903777,0,2,2,3,0,1,5,4,4,24.271106,9.013333,7.650521,0.55555556,1269.19,0.3928571,663,21.328063,12.674052,14.309526,8.3460204,7.9866475,4.4081635,3.59301827,1.93102476,14.288265,8.2709696,6.3452939,3.8236337,2.63239815,1.44194677,0.888944902,0.460059893,5.1193558,10.5636436,11.6454171,1.3888516,1.83709155,1.697303,5.2043695,0.2821176,1.06719817,0.06555388,0.28786336,0.4577184,0.10564078,0.11510117,2,1,0,2,3,1002.93183,1177.11787,1648.23263,1510.70493,1333.4044,56.09928,60.88057,76.857735,76.167082,75.74219,1.65523054737285,-1.41129786967321,1.27674240431258,-1.27918559477144,0.980703590489174,6,16,54.067312,51.124688,0
2'-Deoxyuridine,11.9962686908491,15.9999964323606,-0.417717534077241,0.287684092088231,4.27518563806744,9.37791643285205,0.55555556,-1.516,228.20234,2,1.68,0,8,2,17,28,0,0,-1.6841,2.83619281,51.13,2,1,2,1,1,0.43450691,82,434,23,31.959313,1.997457,19.563529,13.143168,6.420361,5.087463,197.542680748739,99.1,0.8,0.4444444,0,0,1.8731848,7.728467,3.4941356,0.99395706,0,2,2,3,0,0,2,2,1,12.456747,5.104167,2.651405,0.55555556,601.07,0.6875,227,11.706742,7.613392,6.936459,5.7125024,4.6951379,3.1489771,2.28848651,1.24491497,8.367351,4.8741707,3.6322199,2.5455183,1.70429765,0.98820766,0.541831824,0.257477003,2.7539578,4.2596083,5.0438154,0.8873308,1.09742322,1.064807,1.2294958,0.2821176,0.45527461,0.06716012,0.28786336,0.4776472,0.10760801,0.11655552,2,1,0,2,3,821.53596,960.99205,1333.40522,1181.45694,913.4383,20.592306,19.823462,29.397016,28.700768,24.976616,0.709344921549891,-0.371671039385647,0.149129439010188,-0.334903059012927,0.338057985412145,3,7,19.590484,30.051516,0
3-O-Acetyl-beta-boswellic acid,11.9961088319062,15.999306874331,-0.350672412610863,0.287486533286826,4.22191200621064,14.3182762526691,0.875,10.749,498.73821,3,4.54,2,3,3,40,86,0,0,6.8466,46.87593156,142.8491,5,0,1,0,5,0.1276158,216,3458,88,73.085189,2.030144,10.193459,10.193459,0,6.321928,527.497203924379,63.6,1,0.5,16.2096916,14.91546378,11.4081239,21.982264,8.2513384,0.72112479,8,9,0,6,3,0,1,2,1,27.5625,8.75,3.595815,0.875,6840.04,0.6111111,832,26.474327,16.649008,17.609206,15.9533351,13.3156688,11.5824433,8.72333031,6.68691446,24.077371,14.7614582,15.0257787,13.7677711,11.19015085,9.39385972,7.035090465,5.093144538,13.2151322,22.8497776,39.4530872,10.97044745,18.7357196,31.12102,5.0337916,2.6111083,4.23952267,1.98423903,0.21477919,0.95473,0.19699303,0.85076327,2,1,1,8,10,3784.19726,4841.64139,8100.03473,9860.35515,9065.88671,39.097876,41.66046,71.54149,91.653012,91.869858,0.466077718954194,-0.237335131955274,0.0611539021035561,-0.136204176782641,0.186254281853115,1,4,58.49235,92.86765,0
